Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,As_raw,As_trunc_flag,As_clean,As_missing_flag,Au_raw,Au_trunc_flag,Au_clean,Au_missing_flag,Pb_raw,Pb_trunc_flag,Pb_clean,Pb_missing_flag,Fe_raw,Fe_trunc_flag,Fe_clean,Fe_missing_flag,Mo_raw,Mo_trunc_flag,Mo_clean,Mo_missing_flag,Cu_raw,Cu_trunc_flag,Cu_clean,Cu_missing_flag,S_raw,S_trunc_flag,S_clean,S_missing_flag,Zn_raw,Zn_trunc_flag,Zn_clean,Zn_missing_flag
A04812,SOLVE003,561,571.0,,0.066,1031.0,61380.0,138.2,3.6,3586.0,43.6,A,nan,0,9.2,1,0.066,0,0.066,0,1031.0,0,1031.0,0,61380.0,0,61380.0,0,138.2,0,138.2,0,3.6,0,3.6,0,3586.0,0,3586.0,0,43.6,0,43.6,0
A03356,SOLVE003,571,581.0,,0.152,1982.0,50860.0,75.4,4.8,1822.0,36.4,A,nan,0,9.2,1,0.152,0,0.152,0,1982.0,0,1982.0,0,50860.0,0,50860.0,0,75.4,0,75.4,0,4.8,0,4.8,0,1822.0,0,1822.0,0,36.4,0,36.4,0
A04764,SOLVE003,581,591.0,,0.068,1064.8,57940.0,29.2,3.0,740.4,36.6,A,nan,0,9.2,1,0.068,0,0.068,0,1064.8,0,1064.8,0,57940.0,0,57940.0,0,29.2,0,29.2,0,3.0,0,3.0,0,740.4,0,740.4,0,36.6,0,36.6,0
A04626,SOLVE003,591,601.0,,0.074,891.6,48620.0,63.0,4.2,820.8,39.6,A,nan,0,9.2,1,0.074,0,0.074,0,891.6,0,891.6,0,48620.0,0,48620.0,0,63.0,0,63.0,0,4.2,0,4.2,0,820.8,0,820.8,0,39.6,0,39.6,0
A05579,SOLVE003,601,611.0,,0.043125,801.25,51025.0,56.0625,4.875,745.6875,32.3125,A,nan,0,9.2,1,0.043125,0,0.043125,0,801.25,0,801.25,0,51025.0,0,51025.0,0,56.0625,0,56.0625,0,4.875,0,4.875,0,745.6875,0,745.6875,0,32.3125,0,32.3125,0
A04316,SOLVE004,541,551.0,,0.088,2213.6,55400.0,131.2,3.0,1963.8,25.4,A,nan,0,9.2,1,0.088,0,0.088,0,2213.6,0,2213.6,0,55400.0,0,55400.0,0,131.2,0,131.2,0,3.0,0,3.0,0,1963.8,0,1963.8,0,25.4,0,25.4,0
A04127,SOLVE004,551,561.0,,0.098,2679.0,59280.0,93.0,3.0,2085.6,23.4,A,nan,0,9.2,1,0.098,0,0.098,0,2679.0,0,2679.0,0,59280.0,0,59280.0,0,93.0,0,93.0,0,3.0,0,3.0,0,2085.6,0,2085.6,0,23.4,0,23.4,0
A05248,SOLVE004,561,571.0,,0.052,1373.6,44060.0,43.0,3.0,1661.6,24.0,A,nan,0,9.2,1,0.052,0,0.052,0,1373.6,0,1373.6,0,44060.0,0,44060.0,0,43.0,0,43.0,0,3.0,0,3.0,0,1661.6,0,1661.6,0,24.0,0,24.0,0
A04438,SOLVE004,571,581.0,,0.082,1398.0,33940.0,45.0,3.0,1676.8,31.4,A,nan,0,9.2,1,0.082,0,0.082,0,1398.0,0,1398.0,0,33940.0,0,33940.0,0,45.0,0,45.0,0,3.0,0,3.0,0,1676.8,0,1676.8,0,31.4,0,31.4,0
A04198,SOLVE004,581,591.0,,0.094,1500.0,48100.0,119.8,3.0,1263.2,27.2,A,nan,0,9.2,1,0.094,0,0.094,0,1500.0,0,1500.0,0,48100.0,0,48100.0,0,119.8,0,119.8,0,3.0,0,3.0,0,1263.2,0,1263.2,0,27.2,0,27.2,0
A05532,SOLVE004,591,601.0,,0.044,762.6,81280.0,43.0,3.0,3377.0,49.0,A,nan,0,9.2,1,0.044,0,0.044,0,762.6,0,762.6,0,81280.0,0,81280.0,0,43.0,0,43.0,0,3.0,0,3.0,0,3377.0,0,3377.0,0,49.0,0,49.0,0
A05394,SOLVE004,601,611.0,,0.048,654.8,73800.0,20.6,3.4,1120.2,45.2,A,nan,0,9.2,1,0.048,0,0.048,0,654.8,0,654.8,0,73800.0,0,73800.0,0,20.6,0,20.6,0,3.4,0,3.4,0,1120.2,0,1120.2,0,45.2,0,45.2,0
A05795,SOLVE004,611,621.0,,0.038,772.8,74720.0,45.6,3.0,1092.2,39.0,A,nan,0,9.2,1,0.038,0,0.038,0,772.8,0,772.8,0,74720.0,0,74720.0,0,45.6,0,45.6,0,3.0,0,3.0,0,1092.2,0,1092.2,0,39.0,0,39.0,0
A05617,SOLVE004,621,631.0,,0.042,344.0,68140.0,11.0,3.0,719.0,32.4,A,nan,0,9.2,1,0.042,0,0.042,0,344.0,0,344.0,0,68140.0,0,68140.0,0,11.0,0,11.0,0,3.0,0,3.0,0,719.0,0,719.0,0,32.4,0,32.4,0
A05189,SOLVE004,631,641.0,,0.054,847.8,82400.0,40.2,3.0,5229.8,34.6,A,nan,0,9.2,1,0.054,0,0.054,0,847.8,0,847.8,0,82400.0,0,82400.0,0,40.2,0,40.2,0,3.0,0,3.0,0,5229.8,0,5229.8,0,34.6,0,34.6,0
A05078,SOLVE004,641,651.0,,0.058,739.0,84700.0,13.0,15.4,6796.2,87.0,A,nan,0,9.2,1,0.058,0,0.058,0,739.0,0,739.0,0,84700.0,0,84700.0,0,13.0,0,13.0,0,15.4,0,15.4,0,6796.2,0,6796.2,0,87.0,0,87.0,0
A05190,SOLVE004,651,661.0,,0.054,650.2,71640.0,186.4,3.0,4257.8,34.4,A,nan,0,9.2,1,0.054,0,0.054,0,650.2,0,650.2,0,71640.0,0,71640.0,0,186.4,0,186.4,0,3.0,0,3.0,0,4257.8,0,4257.8,0,34.4,0,34.4,0
A04167,SOLVE004,661,671.0,,0.096,1188.2,74480.0,171.0,41.8,6282.0,201.6,A,nan,0,9.2,1,0.096,0,0.096,0,1188.2,0,1188.2,0,74480.0,0,74480.0,0,171.0,0,171.0,0,41.8,0,41.8,0,6282.0,0,6282.0,0,201.6,0,201.6,0
A06106,SOLVE004,671,681.0,,0.032,269.8,55580.0,11.2,43.6,3724.2,113.2,A,nan,0,9.2,1,0.032,0,0.032,0,269.8,0,269.8,0,55580.0,0,55580.0,0,11.2,0,11.2,0,43.6,0,43.6,0,3724.2,0,3724.2,0,113.2,0,113.2,0
A04631,SOLVE004,681,691.0,,0.074,1575.4,57000.0,50.2,8.0,1386.6,48.2,A,nan,0,9.2,1,0.074,0,0.074,0,1575.4,0,1575.4,0,57000.0,0,57000.0,0,50.2,0,50.2,0,8.0,0,8.0,0,1386.6,0,1386.6,0,48.2,0,48.2,0
A02342,SOLVE004,691,701.0,,0.27,4643.2,52880.0,49.8,3.0,8598.8,29.0,A,nan,0,9.2,1,0.27,0,0.27,0,4643.2,0,4643.2,0,52880.0,0,52880.0,0,49.8,0,49.8,0,3.0,0,3.0,0,8598.8,0,8598.8,0,29.0,0,29.0,0
A05079,SOLVE004,701,711.0,,0.058,1205.4,55960.0,17.2,3.0,4864.0,27.4,A,nan,0,9.2,1,0.058,0,0.058,0,1205.4,0,1205.4,0,55960.0,0,55960.0,0,17.2,0,17.2,0,3.0,0,3.0,0,4864.0,0,4864.0,0,27.4,0,27.4,0
A02308,SOLVE004,711,721.0,,0.274,1967.4,66040.0,,4.6,2151.0,26.6,A,nan,0,9.2,1,0.274,0,0.274,0,1967.4,0,1967.4,0,66040.0,0,66040.0,0,nan,0,4.4,1,4.6,0,4.6,0,2151.0,0,2151.0,0,26.6,0,26.6,0
