Unique_ID,holeid,from,to,Class,As_trunc_flag,As_clean,As_missing_flag,Au_trunc_flag,Au_clean,Au_missing_flag,Pb_trunc_flag,Pb_clean,Pb_missing_flag,Fe_trunc_flag,Fe_clean,Fe_missing_flag,Mo_trunc_flag,Mo_clean,Mo_missing_flag,Cu_trunc_flag,Cu_clean,Cu_missing_flag,S_trunc_flag,S_clean,S_missing_flag,Zn_trunc_flag,Zn_clean,Zn_missing_flag
A04812,SOLVE003,561,571.0,A,0,9.2,1,0,0.066,0,0,1031.0,0,0,61380.0,0,0,138.2,0,0,3.6,0,0,3586.0,0,0,43.6,0
A03356,SOLVE003,571,581.0,A,0,9.2,1,0,0.152,0,0,1982.0,0,0,50860.0,0,0,75.4,0,0,4.8,0,0,1822.0,0,0,36.4,0
A04764,SOLVE003,581,591.0,A,0,9.2,1,0,0.068,0,0,1064.8,0,0,57940.0,0,0,29.2,0,0,3.0,0,0,740.4,0,0,36.6,0
A04626,SOLVE003,591,601.0,A,0,9.2,1,0,0.074,0,0,891.6,0,0,48620.0,0,0,63.0,0,0,4.2,0,0,820.8,0,0,39.6,0
A05579,SOLVE003,601,611.0,A,0,9.2,1,0,0.043125,0,0,801.25,0,0,51025.0,0,0,56.0625,0,0,4.875,0,0,745.6875,0,0,32.3125,0
A04316,SOLVE004,541,551.0,A,0,9.2,1,0,0.088,0,0,2213.6,0,0,55400.0,0,0,131.2,0,0,3.0,0,0,1963.8,0,0,25.4,0
A04127,SOLVE004,551,561.0,A,0,9.2,1,0,0.098,0,0,2679.0,0,0,59280.0,0,0,93.0,0,0,3.0,0,0,2085.6,0,0,23.4,0
A05248,SOLVE004,561,571.0,A,0,9.2,1,0,0.052,0,0,1373.6,0,0,44060.0,0,0,43.0,0,0,3.0,0,0,1661.6,0,0,24.0,0
A04438,SOLVE004,571,581.0,A,0,9.2,1,0,0.082,0,0,1398.0,0,0,33940.0,0,0,45.0,0,0,3.0,0,0,1676.8,0,0,31.4,0
A04198,SOLVE004,581,591.0,A,0,9.2,1,0,0.094,0,0,1500.0,0,0,48100.0,0,0,119.8,0,0,3.0,0,0,1263.2,0,0,27.2,0
A05532,SOLVE004,591,601.0,A,0,9.2,1,0,0.044,0,0,762.6,0,0,81280.0,0,0,43.0,0,0,3.0,0,0,3377.0,0,0,49.0,0
A05394,SOLVE004,601,611.0,A,0,9.2,1,0,0.048,0,0,654.8,0,0,73800.0,0,0,20.6,0,0,3.4,0,0,1120.2,0,0,45.2,0
A05795,SOLVE004,611,621.0,A,0,9.2,1,0,0.038,0,0,772.8,0,0,74720.0,0,0,45.6,0,0,3.0,0,0,1092.2,0,0,39.0,0
A05617,SOLVE004,621,631.0,A,0,9.2,1,0,0.042,0,0,344.0,0,0,68140.0,0,0,11.0,0,0,3.0,0,0,719.0,0,0,32.4,0
A05189,SOLVE004,631,641.0,A,0,9.2,1,0,0.054,0,0,847.8,0,0,82400.0,0,0,40.2,0,0,3.0,0,0,5229.8,0,0,34.6,0
A05078,SOLVE004,641,651.0,A,0,9.2,1,0,0.058,0,0,739.0,0,0,84700.0,0,0,13.0,0,0,15.4,0,0,6796.2,0,0,87.0,0
A05190,SOLVE004,651,661.0,A,0,9.2,1,0,0.054,0,0,650.2,0,0,71640.0,0,0,186.4,0,0,3.0,0,0,4257.8,0,0,34.4,0
A04167,SOLVE004,661,671.0,A,0,9.2,1,0,0.096,0,0,1188.2,0,0,74480.0,0,0,171.0,0,0,41.8,0,0,6282.0,0,0,201.6,0
A06106,SOLVE004,671,681.0,A,0,9.2,1,0,0.032,0,0,269.8,0,0,55580.0,0,0,11.2,0,0,43.6,0,0,3724.2,0,0,113.2,0
A04631,SOLVE004,681,691.0,A,0,9.2,1,0,0.074,0,0,1575.4,0,0,57000.0,0,0,50.2,0,0,8.0,0,0,1386.6,0,0,48.2,0
A02342,SOLVE004,691,701.0,A,0,9.2,1,0,0.27,0,0,4643.2,0,0,52880.0,0,0,49.8,0,0,3.0,0,0,8598.8,0,0,29.0,0
A05079,SOLVE004,701,711.0,A,0,9.2,1,0,0.058,0,0,1205.4,0,0,55960.0,0,0,17.2,0,0,3.0,0,0,4864.0,0,0,27.4,0
A02308,SOLVE004,711,721.0,A,0,9.2,1,0,0.274,0,0,1967.4,0,0,66040.0,0,0,4.4,1,0,4.6,0,0,2151.0,0,0,26.6,0
